,State,Confirmed,Recovered,Deaths,Active,Last_Updated_Time,Migrated_Other,State_code,Delta_Confirmed,Delta_Recovered,Delta_Deaths,0
0,Andaman and Nicobar Islands,1123,355,16,752,06/08/2020 20:45:08,0,AN,0,0,0,1
1,Andhra Pradesh,196789,112870,1753,82166,06/08/2020 19:45:03,0,AP,0,0,0,1
2,Arunachal Pradesh,1948,1245,3,700,06/08/2020 23:17:40,0,AR,0,0,0,1
3,Assam,52818,37225,126,15464,06/08/2020 23:00:49,3,AS,0,0,0,1
4,Bihar,68148,43820,388,23939,06/08/2020 17:29:43,1,BR,0,0,0,1
5,Chandigarh,1327,777,20,529,06/08/2020 18:11:05,1,CH,0,0,0,1
6,Chhattisgarh,11020,8088,77,2855,06/08/2020 23:00:55,0,CT,0,0,0,1
7,Dadra and Nagar Haveli and Daman and Diu,1415,997,2,406,06/08/2020 20:07:54,10,DN,0,0,0,1
8,Delhi,141531,127124,4059,10348,06/08/2020 18:39:45,0,DL,0,0,0,1
9,Goa,7614,5453,66,2095,06/08/2020 19:39:50,0,GA,0,0,0,1
10,Gujarat,67811,50524,2579,14708,06/08/2020 21:28:40,0,GJ,0,0,0,1
11,Haryana,39303,32640,458,6205,06/08/2020 20:29:05,0,HR,0,0,0,1
12,Himachal Pradesh,3047,1865,13,1141,06/08/2020 22:26:45,28,HP,0,0,0,1
13,Jammu and Kashmir,23454,15708,436,7310,06/08/2020 18:19:43,0,JK,0,0,0,1
14,Jharkhand,15756,6594,145,9017,06/08/2020 23:00:52,0,JH,0,0,0,1
15,Karnataka,158254,80281,2897,75067,06/08/2020 21:19:51,9,KA,0,0,0,1
16,Kerala,30449,18333,98,11983,06/08/2020 20:08:58,35,KL,0,0,0,1
17,Ladakh,1595,1177,7,411,06/08/2020 20:38:59,0,LA,0,0,0,1
18,Lakshadweep,0,0,0,0,26/03/2020 07:19:29,0,LD,0,0,0,1
19,Madhya Pradesh,36564,26902,946,8716,06/08/2020 19:55:50,0,MP,0,0,0,1
20,Maharashtra,479779,316375,16792,146305,06/08/2020 20:42:51,307,MH,0,0,0,1
21,Manipur,3217,1905,8,1304,06/08/2020 19:18:40,0,MN,0,0,0,1
22,Meghalaya,990,345,5,640,06/08/2020 20:09:02,0,ML,0,0,0,1
23,Mizoram,538,288,0,249,06/08/2020 17:29:49,1,MZ,0,0,0,1
24,Nagaland,2580,819,6,1752,06/08/2020 18:39:49,3,NL,0,0,0,1
25,Odisha,40717,26888,280,13549,06/08/2020 20:44:03,0,OR,0,0,0,1
26,Puducherry,4621,2808,70,1743,06/08/2020 18:11:03,0,PY,0,0,0,1
27,Punjab,20891,13659,517,6715,06/08/2020 21:19:59,0,PB,0,0,0,1
28,Rajasthan,48996,35131,757,13108,06/08/2020 21:54:44,0,RJ,0,0,0,1
29,Sikkim,829,353,1,475,06/08/2020 23:01:46,0,SK,0,0,0,1
30,State Unassigned,0,0,0,0,19/07/2020 09:40:01,0,UN,0,0,0,1
31,Tamil Nadu,279144,221087,4571,53486,06/08/2020 19:44:47,0,TN,0,0,0,1
32,Telangana,73050,52103,589,20358,06/08/2020 11:26:06,0,TG,0,0,0,1
33,Total,2025409,1377384,41638,605933,06/08/2020 23:46:37,454,TT,0,0,0,1
34,Tripura,5740,3793,31,1898,06/08/2020 11:43:39,18,TR,0,0,0,1
35,Uttar Pradesh,108974,63402,1918,43654,06/08/2020 17:53:49,0,UP,0,0,0,1
36,Uttarakhand,8623,5427,102,3056,06/08/2020 23:46:40,38,UT,0,0,0,1
37,West Bengal,86754,61023,1902,23829,06/08/2020 21:28:42,0,WB,0,0,0,1
